experience_years,education_years,hours_per_week,department,salary,performance
3.6,20.0,44.8,Support,66180.0,Medium
0.4,19.0,31.6,Marketing,59470.0,Low
9.3,15.0,48.1,Sales,80766.0,Medium
14.5,,53.3,Sales,98279.0,Medium
8.4,12.0,34.0,Marketing,68006.0,Medium
9.7,13.0,45.7,Marketing,78349.0,Medium
0.3,,42.9,Engineering,51870.0,Low
9.7,18.0,43.2,Marketing,80950.0,Medium
18.8,19.0,41.2,Support,113525.0,Medium
17.0,19.0,32.5,Marketing,98777.0,Medium
14.6,17.0,36.1,Marketing,95768.0,Medium
2.2,12.0,26.5,Sales,50226.0,Low
17.9,,50.6,Engineering,98656.0,High
17.1,13.0,34.6,Marketing,98162.0,Low
3.3,16.0,,Marketing,65210.0,Medium
12.6,15.0,30.4,Sales,89188.0,Low
0.4,19.0,,Engineering,58264.0,Low
2.3,20.0,47.7,Engineering,62718.0,Low
6.3,20.0,44.6,Marketing,80511.0,Low
3.2,19.0,36.6,Sales,72717.0,Low
15.2,12.0,37.5,Engineering,94067.0,High
16.4,15.0,46.6,Sales,102225.0,High
6.9,12.0,42.7,Engineering,61239.0,Low
6.4,15.0,30.2,Support,65510.0,Low
2.2,,42.6,Sales,48371.0,Low
1.7,18.0,30.3,Engineering,69101.0,Low
14.3,16.0,29.4,Sales,94287.0,Low
12.0,15.0,49.0,Sales,83561.0,Medium
1.1,17.0,51.8,Support,61014.0,Low
9.6,13.0,47.6,Engineering,79178.0,High
8.0,14.0,37.2,Engineering,74995.0,Medium
17.0,16.0,42.2,Marketing,103391.0,High
14.4,19.0,34.2,Engineering,105420.0,Medium
12.0,19.0,32.0,Marketing,95433.0,Medium
11.0,12.0,39.8,Engineering,78035.0,Low
19.0,16.0,37.1,Engineering,105279.0,Medium
19.7,18.0,40.9,Support,115776.0,Medium
6.8,13.0,36.4,Marketing,69506.0,Medium
4.8,13.0,43.9,Engineering,63475.0,Low
15.9,17.0,37.0,Support,103158.0,High
1.3,15.0,42.2,Sales,49498.0,Medium
7.3,20.0,32.7,Support,69069.0,Medium
1.4,18.0,46.3,Engineering,56343.0,Low
6.4,16.0,39.6,Support,65965.0,Low
1.4,17.0,,Marketing,63834.0,Low
5.8,14.0,42.4,Engineering,70873.0,Medium
15.8,18.0,38.2,Marketing,105983.0,Medium
18.1,12.0,41.4,Sales,100416.0,Medium
15.9,15.0,36.3,Sales,90497.0,Medium
11.2,17.0,30.3,Marketing,90638.0,Low
12.3,15.0,34.0,Engineering,78902.0,Low
7.2,18.0,42.4,Sales,73838.0,Medium
3.4,18.0,37.4,Marketing,71833.0,Low
8.7,13.0,39.3,Marketing,72551.0,Medium
14.7,16.0,40.8,Sales,88705.0,Medium
1.3,14.0,43.9,Engineering,57305.0,Low
0.4,18.0,,Engineering,55143.0,Low
15.4,20.0,43.4,Marketing,104887.0,Medium
6.0,12.0,33.6,Marketing,56441.0,Low
14.0,17.0,52.2,Support,96059.0,High
14.7,18.0,41.3,Support,97063.0,Medium
18.7,13.0,47.7,Engineering,99935.0,Medium
8.0,19.0,46.2,Marketing,86492.0,Medium
7.2,16.0,43.6,Sales,80391.0,Medium
16.1,16.0,43.3,Marketing,100287.0,Medium
15.3,14.0,41.8,Sales,82747.0,Medium
13.1,15.0,35.6,Support,84085.0,Low
16.2,20.0,30.5,Engineering,110736.0,Low
12.8,19.0,43.1,Sales,100796.0,Medium
19.1,16.0,37.8,Support,115235.0,High
6.7,17.0,35.3,Engineering,71006.0,Low
14.8,14.0,42.0,Engineering,98595.0,Medium
19.0,19.0,44.2,Engineering,102631.0,Medium
6.7,14.0,39.5,Engineering,74645.0,Medium
12.2,18.0,50.0,Support,87753.0,Medium
7.3,16.0,,Marketing,78195.0,Low
9.2,14.0,39.2,Engineering,79991.0,Medium
1.5,18.0,36.2,Engineering,62832.0,Low
0.4,13.0,34.2,Marketing,47838.0,Low
15.2,14.0,37.5,Sales,90318.0,Low
9.1,14.0,40.1,Sales,81863.0,Medium
12.5,17.0,55.2,Sales,91531.0,Low
14.8,13.0,51.3,Marketing,88999.0,High
8.4,16.0,43.4,Engineering,71142.0,Medium
7.4,16.0,31.6,Sales,78320.0,Low
3.4,18.0,44.4,Sales,68259.0,Low
15.9,14.0,39.8,Sales,91651.0,High
16.7,18.0,34.6,Sales,109777.0,High
14.7,12.0,48.6,Support,90890.0,Medium
17.5,12.0,50.9,Engineering,92204.0,High
13.0,17.0,33.3,Sales,95541.0,Medium
13.9,19.0,44.0,Support,104925.0,Medium
3.9,18.0,40.9,Engineering,66976.0,Low
15.4,19.0,31.7,Engineering,106139.0,High
6.7,16.0,44.2,Engineering,70349.0,Medium
8.8,14.0,39.5,Support,84038.0,High
6.4,15.0,41.2,Marketing,73315.0,Low
11.4,12.0,38.7,Marketing,82423.0,Medium
13.2,16.0,,Engineering,95670.0,Medium
11.5,15.0,30.9,Sales,89874.0,Low
6.4,13.0,32.8,Engineering,64034.0,Medium
4.4,13.0,49.8,Engineering,59905.0,Low
16.9,12.0,48.9,Sales,101635.0,Medium
6.0,14.0,44.1,Engineering,61252.0,High
8.8,12.0,49.1,Sales,75140.0,Low
1.8,15.0,48.4,Engineering,58864.0,Medium
6.0,20.0,34.5,Marketing,81897.0,Low
1.7,13.0,45.3,Sales,47521.0,Low
6.9,16.0,37.0,Engineering,66542.0,Medium
14.2,18.0,38.9,Support,95605.0,Medium
19.5,13.0,42.9,Support,107537.0,High
12.5,14.0,42.8,Engineering,84205.0,Low
5.4,12.0,29.5,Marketing,58117.0,Low
13.1,,47.6,Sales,86878.0,Medium
12.5,17.0,41.6,Engineering,92445.0,Medium
16.5,16.0,38.9,Sales,99891.0,Medium
